Dataset,Paper Title,Year,Publisher,Paper Link,Project Link,Description,Size & Content,Indoor/Outdoor,Real/Synthetic,Modalities,No. Classes,Tasks,No. Papers,No. Benchmarks,Column1,checked?
Tongji-3D (Tongji Computer Graphic (TCG)),A synthetic dataset for Visual SLAM evaluation,2020,Robot. Auton. Syst.,https://www.sciencedirect.com/science/article/pii/S0921889019301009,/,synthetic dataset for VSLAM evaluation,multiple sequences in different indoor environments; more than 15k images in total; sequence contents: 1. Camera 6-DOF pose in world coordinate system; 2. undistorted wide-angle images and fisheye images; 3. Bounding boxes for significant objects +  objects’ relative transformation in camera coordinate system; 4. Depth for each pixel in each frame; 5. Semantic/instance segmentation ; 6. Edge map of object borders; 7. Optical flow from frame FN to the next frame FN+1; 8. Camera intrinsic parameters for pinhole camera model + fisheye model; 9. Stereo image pairs for wide-angle images + fisheye images. 10. Images with motion blur effect and depth-of-field effect,outdoor,synthetic,,,VSLAM evaluation,?,,,
Toronto3D,Toronto-3D: A Large-scale Mobile LiDAR Dataset for Semantic Segmentation of Urban Roadways,2020,CVPR,https://arxiv.org/pdf/2003.08284v3,https//hub.com/WeikaiTan/Toronto-3D,large-scale urban outdoor point cloud dataset acquired by an MLS system in Toronto; Canada; for semantic segmentation,dataset covers approximately 1 km of road; consists of about 78.3 million points; Point clouds has 10 attributes and classified in 8 labelled object classes,outdoor,,,,Semantic Segmentation; Scene Understanding; Autonomous Driving,21,1,,
TOSCA,Numerical geometry of non-rigid shapes,2008,Springer,https://tosca.cs.technion.ac.il/book/resources_data.html,,Hi-resolution three-dimensional nonrigid shapes in a variety of poses for non-rigid shape similarity and correspondence experiments,total of 80 objects; including 11 cats; 9 dogs; 3 wolves; 8 horses; 6 centaurs; 4 gorillas; 12 female figures; and two different male figures; containing 7 and 20 poses; Typical vertex count is about 50;000,,synthetic,,,3D Dense Shape Correspondence,4,0,,
Touchdown,TOUCHDOWN: Natural Language Navigation and Spatial Reasoning in Visual Street Environments,2019,CVPR,https://arxiv.org/pdf/1811.12354v7,https//hub.com/lil-lab/touchdown,corpus for executing navigation instructions and resolving spatial descriptions in visual real-world environments; The task is to follow instruction to a goal position and there find a hidden object; Touchdown the bear,For the full task and navigation-only; TOUCHDOWN includes 9;326 examples with 6;526 in the training set; 1;391 in the development set; and 1;409 in the test set. For the SDR task; TOUCHDOWN includes 9;326 unique descriptions and 25;575 examples with 17;880 for training; 3;836 for development; and 3;859 for testing,outdoor,,,,Vision and Language Navigation; Style Transfer; Text Style Transfer,19,1,,
TrajNet,An Evaluation of Trajectory Prediction Approaches and Notes on the TrajNet Benchmark,2018,arXiv,https://arxiv.org/pdf/1805.07663v6,http//trajnet.stanford.edu,TrajNet Challenge represents a large multi-scenario forecasting benchmark -> challenge consists on predicting 3161 human trajectories; observing for each trajectory 8 consecutive ground-truth values (3.2 seconds) in world plane coordinates and forecasting the following 12 (4.8 seconds); ,TrajNet is a superset of diverse datasets ->  1) BIWI Hotel (orthogonal bird’s eye flight view; moving people); 2) Crowds UCY (3 datasets; tilted bird’s eye view; camera mounted on building or utility poles; moving people); 3) MOT PETS (multisensor; different human activities) and 4) Stanford Drone Dataset (8 scenes; high orthogonal bird’s eye flight view; different agents as people; cars etc. ); for a total of 11448 trajectories,outdoor,,,,Trajectory Prediction; Trajectory Forecasting; Decision Making,12,2,,
UCY,Crowds by Example,2007,CGF,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-8659.2007.01089.x,https//graphics.cs.ucy.ac.cy/research/downloads/crowd-data.html,real pedestrian trajectories with rich multi-human interaction scenarios captured at 2.5 Hz (?t=0.4s) -> real scenes used to generate synthetic crowds,three sequences (Zara01; Zara02; and UCY); taken in public spaces from top-view,outdoor,synthetic,,,Trajectory Prediction; Trajectory Forecasting; Motion Prediction,162,1,,
ULS labeled data,Semantic segmentation of sparse irregular point clouds for leaf/wood discrimination,2023,Zenodo,https://proceedings.neurips.cc/paper_files/paper/2023/file/9708c7d3a0fef3710f33ba05a74e10b3-Paper-Conference.pdf,https//zenodo.org/records/8398853,UAV Laser Scanning data collected over neotropical forest (Paracou French Guiana); Semantic segmentation of sparse irregular point clouds for leaf/wood discrimination,Four flights of ULS data were collected at various times over the same site; with each flight covering 14;000 m² of land and consisting of approximately 10 million points; yielding a density of around 1;000 pts/m²,outdoor,,,,LIDAR Semantic Segmentation,1,1,,
UrbanLoco,UrbanLoco: A Full Sensor Suite Dataset for Mapping and Localization in Urban Scenes,2020,ICRA,https://arxiv.org/pdf/1912.09513v2,https//advdataset2019.wixsite.com/urbanloco,mapping/localization dataset collected in highly-urbanized environments with a full sensor-suite,13 trajectories collected in San Francisco and Hong Kong; covering a total length of over 40 kilometers,outdoor,,,,Point Cloud Registration; Autonomous Driving,14,0,,
UrbanScene3D,Capturing; Reconstructing; and Simulating: the UrbanScene3D Dataset,2022,ECCV,https://arxiv.org/pdf/2107.04286v3,https//vcc.tech/UrbanScene3D,large scale urban scene dataset associated with a handy simulator based on Unreal Engine 4 and AirSim; which consists of both man-made and real-world reconstruction scenes in different scales,10 synthetic and 6 real scenes; 128k high-resolution images covering 16 scenes including largescale real urban regions and synthetic cities with 136 km2 area in total,outdoor,mixed,,,Simultaneous Localization and Mapping; Depth Estimation; Autonomous Navigation; Novel View Synthesis,13,0,,
V2V4Real,V2V4Real: A Real-world Large-scale Dataset for Vehicle-to-Vehicle Cooperative Perception,2023,CVPR,https://arxiv.org/pdf/2303.07601v2,https//hub.com/ucla-mobility/v2v4real,large-scale real-world multi-modal dataset for V2V (Vehicle-to-Vehicle) perception,covers a driving area of 410 km comprising 20K LiDAR frames; 40K RGB frames; 240K annotated 3D bounding boxes for 5 classes; and HDMaps that cover all the driving routes,outdoor,,,,Domain Adaption; 3D Object Detection,20,0,,
VBR,VBR: A Vision Benchmark in Rome,2024,ICRA,https://arxiv.org/pdf/2404.11322v1,https//rvp-group.net/slam-dataset.html,This dataset presents a vision and perception research dataset collected in Rome; featuring RGB data; 3D point clouds; IMU; and GPS data + benchmark targeting visual odometry and SLAM; to advance the research in autonomous robotics and computer vision,6 datasets split into different sequences -> a) Spagna: urban; 2.045 km; 1827 s; b) Colosseum: urban; 2.159 km; 1383 s; c) Pincio: park; 2.541 km; 2064 s; d) DIAG: outdoor / indoor; 1.480 km; 1458 s; e) Campus: urban; 11.455 km; 2290 s; f) Ciampino: urban / traffic; 21.064 km; 3688 s,mixed,,,,(3D) Pose Estimation; Visual Place Recognition; Point Cloud Registration; 3D Reconstruction; Visual Tracking; Monocular Depth Estimation; Novel View Synthesis; Visual Odometry…,2,0,,
VideoNavQA,VideoNavQA: Bridging the Gap between Visual and Embodied Question Answering,2019,BMVC,https://arxiv.org/pdf/1908.04950v1,https//hub.com/catalina17/VideoNavQA,dataset contains pairs of questions and videos generated in the House3D environment,approximately 101;000 pairs of videos and questions; 28 types of questions belonging to 8 categories; with 70 possible answers,indoor,,,,Question Answering; Visual Question Answering (VQA); Scene Understanding,4,0,,
VIENA2,VIENA2: A Driving Anticipation Dataset,2018,ACCV,https://arxiv.org/pdf/1810.09044v2,https//sites.google.com/view/viena2-project/home,Large-scale driving anticipation dataset,Covers 5 generic driving scenarios; with a total of 25 distinct action classes; more than 15K full HD; 5s long videos acquired in various driving conditions; weathers; daytimes and environments; complemented with a common and realistic set of sensor measurements; more than 2.25M frames; each annotated with an action label; corresponding to 600 samples per action class,outdoor,,,,Action Anticipation; Motion Prediction; Human Motion Prediction,4,0,,
VIPeR (Viewpoint Invariant Pedestrian Recognition),Evaluating appearance models for recognition; reacquisition; and tracking,2007,PETS,https://github.com/KaiyangZhou/deep-person-reid/blob/master/torchreid/data/datasets/image/viper.py,,Dataset for viewpoint invariant pedestrian recognition (VIPeR),VIPeR dataset includes 632 people and two outdoor cameras under different viewpoints and light conditions. Each person has one image per camera and each image has been scaled to be 128×48 pixels. It provides the pose angle of each person as 0° (front); 45°; 90° (right); 135°; and 180° (back),outdoor,,,,Person Re-Identification; Metric Learning; Patch Matching,133,0,,
VIRDO,VIRDO: Visio-tactile Implicit Representations of Deformable Objects,2022,ICRA,https://arxiv.org/pdf/2202.00868v2,https//hub.com/MMintLab/VIRDO/,implicit; multi-modal; and continuous representation for deformable-elastic objects,144 deformation scenes from 6 different objects generated through MATLAB,indoor,,,,Surface Reconstruction; Deformable Object Manipulation,1,0,,
Visual Genome,Visual Genome: Connecting Language and Vision Using Crowdsourced Dense Image Annotations,2017,IJCV,https://arxiv.org/pdf/1602.07332v1,https//homes.cs.washington.edu/~ranjay/visualgenome/index.html,Visual Question Answering data in a multi-choice setting,"The Visual Genome dataset consists of all 108249 images from the intersection of MS-COCO’s 328000 images and YFCC’s 100 million images -> real-world,
non-iconic images that were uploaded onto Flickr by
users; We collected the WordNet synsets into which our 108249 images can be categorized using the
same method as ImageNet -> Visual Genome images cover 972 synsets; 1.7 million QA pairs; 17 questions per image on average; balanced distribution over 6 question types (What; Where; When; Who; Why; How); 108K images with densely annotated objects; attributes and relationships",mixed,Real,(RGB) images from Flickr,"76,340",Object Detection; Visual Question Answering (VQA); Layout-to-Image Generation; Scene Graph Generation; Visual Relationship Detection…,1226,19,,c
VIsual PERception (VIPER),Playing for Benchmarks,2017,ICCV,https://arxiv.org/pdf/1709.07322v1,https//playing-for-benchmarks.org/overview/,benchmark suite for visual perception;  benchmark is based on more than 250K high-resolution video frames; all annotated with ground-truth data for both low-level and high-level vision tasks; including optical flow; semantic instance segmentation; object detection and tracking; object-level 3D scene layout; and visual odometry,more than 250K high-resolution video frames; all annotated with ground-truth data; data was collected while driving; riding; and walking a total of 184 kilometers in diverse ambient conditions in a realistic virtual world,outdoor,,,,optical flow; semantic instance segmentation; object detection and tracking; object-level 3D scene layout; visual odometry,6,0,,
VizWiz(-VQA),VizWiz Grand Challenge: Answering Visual Questions from Blind People,2018,CVPR,https://arxiv.org/pdf/1802.08218v4,https//vizwiz.org/tasks-and-datasets/vqa/,dataset originates from a natural visual question answering setting where blind people each took an image and recorded a spoken question about it, VizWiz consists of over 31;000 visual questions originating from blind people who each took a picture using a mobile phone and recorded a spoken question about it; together with 10 crowdsourced answers per visual question,,,,,Visual Question Answering (VQA); Image Captioning,182,7,,
VLN-CE (Vision-and-Language Navigation in Continuous Environments),Beyond the Nav-Graph: Vision-and-Language Navigation in Continuous Environments,2020,ECCV,https://arxiv.org/pdf/2004.02857v2,https//jacobkrantz.hub.io/vlnce/#overview,Vision and Language Navigation in Continuous Environments (VLN-CE) is an instruction-guided navigation task with crowdsourced instructions; realistic environments; and unconstrained agent navigation,4475 trajectories converted from Room-to-Room train and validation splits; For each trajectory; multiple natural language instructions from Room-to-Room and a pre-computed shortest path are provided following the waypoints via low-level actions,indoor,,,,Image Generation,41,1,,
